dataset,mode,primary,best_mean,best_std,best_variant,best_flip,best_flip_schedule,n,baseline_mean,baseline_std,delta,effect_size,baseline_present,note
20newsgroups,offline,accuracy,0.390625,0.06810779599282303,backprop_ternary_step,ternary,per_step,3,0.17708333333333334,0.07216878364870322,0.21354166666666666,3.043305438003342,True,
20newsgroups,real,accuracy,0.3206214689265537,0.004558881120648074,dfa_float_lr15,off,off,3,0.3206214689265537,0.004558881120648074,0.0,0.0,True,
adult,offline,accuracy,0.9088541666666666,0.03157384284630766,dfa_float_lr15,off,off,3,0.9088541666666666,0.03157384284630766,0.0,0.0,True,
adult,real,accuracy,0.8595452069716775,0.0002358456981984398,dfa_float,off,off,3,0.8595452069716775,0.0002358456981984398,0.0,0.0,True,
ag_news,offline,accuracy,0.48125,0.18401713150546609,dfa_ternary_epoch_tau005,ternary,per_epoch,5,0.4125,0.07039925203793006,0.06875000000000003,0.49347949560099924,True,
ag_news,real,accuracy,0.900532581453634,0.000664574042468545,backprop_float,off,off,2,0.900532581453634,0.000664574042468545,0.0,0.0,True,
california_housing,offline,r2,0.08400654625864083,0.055593608604244255,dfa_float,off,off,3,0.08400654625864083,0.055593608604244255,0.0,0.0,True,
california_housing,real,r2,0.5560693541742685,0.006489659246827842,dfa_float,off,off,5,0.5560693541742685,0.006489659246827842,0.0,0.0,True,
cifar10,offline,accuracy,1.0,0.0,dfa_float_lr15,off,off,5,1.0,0.0,0.0,nan,True,saturated
fashion_mnist,offline,accuracy,1.0,0.0,dfa_float_lr15,off,off,5,1.0,0.0,0.0,nan,True,saturated
fashion_mnist,real,accuracy,0.8738156392694065,0.002613970645861633,backprop_float_lr15,off,off,5,0.8738156392694065,0.002613970645861633,0.0,0.0,True,
mnist,offline,accuracy,1.0,0.0,dfa_float_lr15,off,off,5,1.0,0.0,0.0,nan,True,saturated
mnist,real,accuracy,0.9646261415525114,0.00033235772542386104,backprop_float_lr15,off,off,5,0.9646261415525114,0.00033235772542386104,0.0,0.0,True,
ucr,offline,accuracy,1.0,0.0,ternary_dfa_step,ternary,per_step,3,1.0,0.0,0.0,nan,True,saturated
ucr,real,accuracy,1.0,0.0,ternary_dfa_step,ternary,per_step,3,1.0,0.0,0.0,nan,True,saturated
